Product ID,Product Name,Description,Price ID,Retail Price
prod_Pk9NKWGSxXW8Eb,Allen Solly Casual Short Sleeve Solid Women's Top,Allen Solly Casual Short Sleeve Solid Women's Top - Buy Medium Yellow Solid Allen Solly Casual Short Sleeve Solid Women's Top For Only Rs. 899 Online in India. Shop Online For Apparels. Huge Collectio,price_1Ouf4JJDw3WYrLo5RF3O4s6t,10
prod_Pk9NVMYXBvj8W5,Alibi Casual Short Sleeve Solid Women's Top,"Alibi Casual Short Sleeve Solid Women's Top
                         Price: Rs. 417
				
			This versatile, solid yellow, women's top from Alibi is a must have in your wardrobe. It comes with a V-neck",price_1Ouf4KJDw3WYrLo5h8q6N80c,8
prod_Pk9Nye7v5vSfd8,Butterfly Wears Casual Short Sleeve Solid Women's Top,"Butterfly Wears Casual Short Sleeve Solid Women's Top
                         Price: Rs. 449
				
			Butterfly Wears sleeveless Women's knitted 100% cotton top in Yellow colour. Made from cotton fabr",price_1Ouf4LJDw3WYrLo5v6S9lLRo,10
prod_Pk9NkbHZKEdWkY,Juelle Casual Sleeveless Solid Women's Top,"Juelle Casual Sleeveless Solid Women's Top
                         Price: Rs. 796
				
			Cotton Lycra Sleeveless Thin Striped Asymmetric Stylish Neck Casual top
Cotton Lycra Sleeveless Thin Striped ",price_1Ouf4MJDw3WYrLo5bxOBlepP,10
prod_Pk9NzCcN8MQkOr,French Creations Casual Short Sleeve Solid Women's Top,"French Creations Casual Short Sleeve Solid Women's Top
                         Price: Rs. 749
				
			Its Western Wear Women’S Top
 As Per Ss15 Fashion Trend.
Its Western Wear Women’S Top
 As Per Ss1",price_1Ouf4NJDw3WYrLo5PjXs3V9v,10
prod_Pk9Nl5z1uNmGOW,Myesquire Ceramic Coffee Burner Pot Lemongrass Liquid Air Freshener,"Myesquire Ceramic Coffee Burner Pot Lemongrass Liquid Air Freshener (30 ml)
                         Price: Rs. 245
				
			Illuminate Every Corner Of Your Living Room In Style With This Home Fragranc",price_1Ouf4OJDw3WYrLo54wzN4OrF,5
prod_Pk9NNOoiTPSn62,Myesquire Blue Green Aroma Burner Combo Lemongrass Liquid Air Freshener,"Myesquire Blue Green Aroma Burner Combo Lemongrass Liquid Air Freshener (70 ml)
                         Price: Rs. 280
				
			Illuminate Every Corner Of Your Living Room In Style With This Home Frag",price_1Ouf4OJDw3WYrLo51F1PXdQG,9
prod_Pk9NjbRF5gic0J,Myesquire White Brown Aroma Burner Combo Lemongrass Liquid Air Freshener,"Myesquire White Brown Aroma Burner Combo Lemongrass Liquid Air Freshener (70 ml)
                         Price: Rs. 270
				
			Illuminate Every Corner Of Your Living Room In Style With This Home Fra",price_1Ouf4PJDw3WYrLo5hiKaA2qG,9
prod_Pk9NXPfDaVwzhX,Myesquire Brown Aroma Burner Combo Lemongrass Liquid Air Freshener,Buy Myesquire Brown Aroma Burner Combo Lemongrass Liquid Air Freshener for Rs.270 online. Myesquire Brown Aroma Burner Combo Lemongrass Liquid Air Freshener at best prices with FREE shipping & cash on,price_1Ouf4QJDw3WYrLo5qfHKsFoK,9
prod_Pk9NojC8KqvVWl,Myesquire Ceramic Burner Pot Lemongrass Liquid Air Freshener,"Myesquire Ceramic Burner Pot Lemongrass Liquid Air Freshener (30 ml)
                         Price: Rs. 245
				
			Illuminate Every Corner Of Your Living Room In Style With This Home Fragrance Elect",price_1Ouf4RJDw3WYrLo5lUVAZCns,5
